ID,fold 1,fold 2,fold 3,fold 4,fold 5
43511_left.jpeg,train,val,train,train,train
37339_left.jpeg,train,train,train,train,train
3587_right.jpeg,train,val,val,train,train
5758_right.jpeg,train,train,train,train,train
16802_left.jpeg,train,val,train,train,val
25260_right.jpeg,train,train,val,train,val
2862_left.jpeg,train,train,val,train,train
38337_right.jpeg,train,train,val,train,train
22901_left.jpeg,train,train,train,train,val
24075_right.jpeg,train,train,train,train,val
5740_right.jpeg,train,val,val,train,train
30353_right.jpeg,train,val,train,val,train
10154_left.jpeg,train,train,val,train,train
8900_left.jpeg,train,train,train,val,train
30303_right.jpeg,train,train,train,train,train
7603_right.jpeg,train,train,val,train,train
12929_right.jpeg,train,val,train,train,val
15554_right.jpeg,train,train,train,train,train
34690_right.jpeg,train,train,train,train,train
531_right.jpeg,train,train,train,train,train
19409_left.jpeg,train,train,train,val,val
41471_left.jpeg,train,train,train,train,val
35645_right.jpeg,train,val,train,train,val
28948_left.jpeg,train,train,train,train,train
14756_right.jpeg,train,val,train,train,train
31659_left.jpeg,train,val,train,val,train
509_left.jpeg,train,train,train,train,train
16857_left.jpeg,train,train,val,train,train
26986_right.jpeg,train,train,train,train,train
3287_left.jpeg,train,train,train,val,val
9156_right.jpeg,train,train,train,train,train
114_left.jpeg,train,train,train,train,train
36726_right.jpeg,train,train,val,train,train
41342_left.jpeg,train,train,train,train,val
2767_right.jpeg,train,val,train,train,train
4864_left.jpeg,train,val,val,val,train
8583_right.jpeg,train,val,val,val,train
23146_left.jpeg,train,train,train,train,train
36983_right.jpeg,train,train,train,train,train
26209_left.jpeg,train,val,train,train,train
41105_right.jpeg,train,train,train,train,train
18829_left.jpeg,train,val,train,train,train
37422_right.jpeg,train,train,train,val,train
36903_left.jpeg,train,train,train,train,train
23165_right.jpeg,train,train,train,val,train
37152_left.jpeg,train,train,train,train,train
15376_right.jpeg,train,train,train,train,train
17492_right.jpeg,train,train,train,train,train
21456_left.jpeg,train,train,train,train,val
39521_right.jpeg,train,train,train,train,val
16046_left.jpeg,train,val,train,val,train
25449_right.jpeg,train,train,train,val,train
17749_left.jpeg,train,train,train,train,train
41325_right.jpeg,train,train,train,val,val
27094_left.jpeg,train,train,train,train,train
17481_left.jpeg,train,train,train,train,train
